자치구,설치위치,위도,경도,시설형태
영등포구,하우스디비즈 지식산업센터,37.5202,126.8979,완전개방형
영등포구,홍우빌딩,37.5208,126.9314,개방형
영등포구,가든빌딩,37.5289,126.9213,완전개방형
영등포구,삼성 코코빌,37.5252,126.8826,개방형
영등포구,정우빌딩,37.5289,126.922,개방형
영등포구,월드메르디앙비즈센터,37.5254,126.8889,개방형
영등포구,맨하탄빌딩,37.5207,126.9269,개방형
영등포구,NH투자증권본사,37.5244,126.9232,개방형
영등포구,코레일유통,37.5258,126.9023,개방형
영등포구,한국우편사업진흥원,37.5238,126.9052,개방형
영등포구,대림중앙시장,37.491,126.8993,개방형
영등포구,여의도 한화증권 앞,37.5236,126.9226,개방형
영등포구,여의도 오투타워 앞,37.5231,126.9229,개방형
영등포구,여의도 한화손해빌딩 앞,37.5237,126.9221,개방형
영등포구,한국교직원공제회관 앞,37.5222,126.9253,개방형
영등포구,여의도역3번출구 뒤쪽,37.5225,126.9238,개방형
영등포구,상희익스콘벤터타워 1,37.5271,126.9194,개방형
영등포구,상희익스콘벤터타워 2,37.5272,126.9197,개방형
영등포구,한국투자증권 앞,37.5225,126.9226,개방형
영등포구,한국거래소 앞1,37.5228,126.9268,개방형
영등포구,한국거래소 앞2,37.5227,126.9268,개방형
영등포구,파크원,37.3133,126.5541,개방형
동작구,서울특별시 동작구 노량진로 174 노량진 컵밥거리,37.5134622,126.9452938,개방형
관악구,에이치플러스양지병원 옥상,37.48410616,126.93258177726398 ,개방형
관악구,롯데백화점 관악점 건물뒷편,37.4905641,126.92505363442203 ,완전폐쇄형
관악구,관악구청 2층 테라스,37.47815754,126.9515665,완전폐쇄형
관악구,관악구청 9층 옥상,37.47814849,126.95146476705425 ,개방형
관악구,관악구의회 6층 옥상,37.47828818,126.95155229579369 ,개방형
관악구,관악구 보건소 6층 옥상,37.47846598,126.95118757169512 ,개방형
관악구,싱글벙글 교육센터 뒷편,37.47609383,126.95632739973223 ,폐쇄형
관악구,강남고려병원 주차장,37.4854239,126.9566612,개방형
관악구,krtc 옥상,37.47429157,126.98081244048211 ,개방형
서초구,교보타워 주차장 진입로 옆,37.50364546,127.02429848629173 ,개방형
서초구,엘타워 뒤 주차장 진입로 옆,37.48230898,127.03566288119673 ,개방형
서초구,서울가정행정법원 청사 출입계단 밑,37.48127485,127.0363832,부분개방형
서초구,고속버스터미널역 3번출구 앞,37.50343835,127.0055134,부분개방형
서초구,강남역 7번 출구와 8번출구 사이 보도,37.49713723,127.0275759,개방형
서초구,방배역 3번출구 먹자골목,37.48195393,126.99717343956218 ,개방형
서초구,스타벅스 앞,37.49559422,127.02772794581821 ,개방형
서초구,서초대로 78길 42 서초동 1330-18 현대기림오피스텔 앞,37.49399253,127.02832950765176 ,개방형
서초구,명동칼국수 앞,37.47780583,126.98293982433742 ,개방형
서초구,센트럴시티 호남선 출입구 옆,37.50458938,127.0055417306353 ,부분개방형
서초구,센트럴시티 경부선 하차장 옆,37.50649942,127.00720443336942 ,부분개방형
서초구,서초구청 주차장 자판기 옆,37.48354665,127.03205387533043 ,폐쇄형
서초구,방배동 438-38(서울시공공자전거 수리센터  앞) ,37.48355566,127.03206518566097 ,개방형
서초구,방배경찰서 앞,37.49468626,126.98320172710898 ,개방형
서초구,그린골프장 앞,37.48574797,127.02974257253527 ,개방형
서초구,정인빌딩 앞 녹지 사이 보도,37.47699642,127.03916505973847 ,비대면
서초구,비스텔타워 후면 전신주 주변,37.47556054,127.03525551058955 ,라인형
서초구,양재천 족구장 기존 흡연구역,37.47611256,127.0417281,라인형
서초구,건물 주차장 기업은행 지주간판 도로,37.47658239,127.04432577323891 ,라인형
서초구,아파트 외부 보도 가각지점,37.47152528,127.05041600379278 ,라인형
서초구,녹지 옆 기존 흡연구역,37.469632,127.04779211501771 ,라인형
서초구,동산마을구립주차장 내,37.47003654,127.0443388644372 ,라인형
서초구,건물 후면 양재대로변 ,37.46761263,127.04485176850328 ,라인형
서초구,카센터 앞 보도,37.46686341,127.04248313962727 ,라인형
서초구,건물 앞 녹지사이 보도,37.46717217,127.04204528378153 ,라인형
서초구,건물 앞 보도 끝지점,37.46779863,127.04131369358565 ,라인형
서초구,건물 앞 녹지사이 보도,37.46858729,127.04051152744331 ,비대면
서초구,건물 앞 녹지사이 보도,37.47250265,127.03911184319182 ,비대면
서초구,카센터 옆 기존 주차구역(영동교회 맞은편),37.48161671,127.0380538,라인형
서초구,서울마더스성형외과 앞 녹지 사이 보도,37.49002802,126.98295117936998 ,라인형
서초구,건물 앞 보도 가각지점,37.47575751,127.0392463766944 ,라인형
서초구,재윤빌딩 진입로 입구,37.47587371,127.03502672486542 ,비대면
서초구,느린마을양조장 앞,37.47890019,127.0379789462885 ,비대면
서초구,소호정 주차장,37.47465307,127.04730071215033 ,라인형
서초구,양재동 316 띠녹지 안,37.47072311,127.03925787510887 ,비대면
서초구,AT센터 앞,37.46811915,127.03936390287176 ,비대면
서초구,꽃마을1소공원 남측 부지 내 ,37.49040746,127.00709829303352 ,비대면
서초구,사당역 1번 출구와 2번 출구 사이 보도,37.47605326,126.98219124311768 ,개방형
서초구,반포효성빌딩 페라리 매장 앞,37.50061152,127.00338423451892 ,개방형
송파구,롯데월드몰 후문 앞,37.51335929,127.10486971332764 ,폐쇄형
송파구,문정현대 지식산업센터 앞,37.48533562,127.11925793727478 ,개방형
송파구,가든파이브 앞,37.47760788,127.12515282159859 ,폐쇄형
송파구,우리은행 앞,37.48680008,127.12116266214318 ,개방형
